,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen
0,2022-07-28 23:00:00,,,,,,,,,,,,,,,,,
1,2022-07-29 00:00:00,,,,,,,,,,,,,,,,,
2,2022-07-29 01:00:00,,,,,,,,,,,,,,,,,
3,2022-07-29 02:00:00,,,,,,,,,,,,,,,,,
4,2022-07-29 03:00:00,,,,,,,,,,,,,,,,,
5,2022-07-29 04:00:00,,,,,,,,,,,,,,,,,
6,2022-07-29 05:00:00,,,,,,,,,,,,,,,,,
7,2022-07-29 06:00:00,,,,,,,,,,,,,,,,,
8,2022-07-29 07:00:00,,,,,,,,,,,,,,,,,
9,2022-07-29 08:00:00,,,,,,,,,,,,,,,,,
10,2022-07-29 09:00:00,,,,,,,,,,,,,,,,,
11,2022-07-29 10:00:00,,,,,,,,,,,,,,,,,
12,2022-07-29 11:00:00,,,,,,,,,,,,,,,,,
13,2022-07-29 12:00:00,,,,,,,,,,,,,,,,,
14,2022-07-29 13:00:00,,,,,,,,,,,,,,,,,
15,2022-07-29 14:00:00,,,,,,,,,,,,,,,,,
16,2022-07-29 15:00:00,,,,,,,,,,,,,,,,,
17,2022-07-29 16:00:00,,,,,,,,,,,,,,,,,
18,2022-07-29 17:00:00,,,,,,,,,,,,,,,,,
19,2022-07-29 18:00:00,,,,,,,,,,,,,,,,,
20,2022-07-29 19:00:00,,,,,,,,,,,,,,,,,
21,2022-07-29 20:00:00,,,,,,,,,,,,,,,,,
22,2022-07-29 21:00:00,,,,,,,,,,,,,,,,,
23,2022-07-29 22:00:00,,,,,,,,,,,,,,,,,
24,2022-07-29 23:00:00,,,,,,,,,,,,,,,,,
25,2022-07-30 00:00:00,,,,,,,,,,,,,,,,,
26,2022-07-30 01:00:00,,,,,,,,,,,,,,,,,
27,2022-07-30 02:00:00,,,,,,,,,,,,,,,,,
28,2022-07-30 03:00:00,,,,,,,,,,,,,,,,,
29,2022-07-30 04:00:00,,,,,,,,,,,,,,,,,
30,2022-07-30 05:00:00,,,,,,,,,,,,,,,,,
31,2022-07-30 06:00:00,,,,,,,,,,,,,,,,,
32,2022-07-30 07:00:00,,,,,,,,,,,,,,,,,
33,2022-07-30 08:00:00,,,,,,,,,,,,,,,,,
34,2022-07-30 09:00:00,,,,,,,,,,,,,,,,,
35,2022-07-30 10:00:00,,,,,,,,,,,,,,,,,
36,2022-07-30 11:00:00,,,,,,,,,,,,,,,,,
37,2022-07-30 12:00:00,,,,,,,,,,,,,,,,,
38,2022-07-30 13:00:00,,,,,,,,,,,,,,,,,
39,2022-07-30 14:00:00,,,,,,,,,,,,,,,,,
40,2022-07-30 15:00:00,,,,,,,,,,,,,,,,,
41,2022-07-30 16:00:00,,,,,,,,,,,,,,,,,
42,2022-07-30 17:00:00,,,,,,,,,,,,,,,,,
43,2022-07-30 18:00:00,,,,,,,,,,,,,,,,,
44,2022-07-30 19:00:00,,,,,,,,,,,,,,,,,
45,2022-07-30 20:00:00,,,,,,,,,,,,,,,,,
46,2022-07-30 21:00:00,,,,,,,,,,,,,,,,,
47,2022-07-30 22:00:00,,,,,,,,,,,,,,,,,
48,2022-07-30 23:00:00,,,,,,,,,,,,,,,,,
49,2022-07-31 00:00:00,,,,,,,,,,,,,,,,,
50,2022-07-31 01:00:00,,,,,,,,,,,,,,,,,
51,2022-07-31 02:00:00,,,,,,,,,,,,,,,,,
52,2022-07-31 03:00:00,,,,,,,,,,,,,,,,,
53,2022-07-31 04:00:00,,,,,,,,,,,,,,,,,
54,2022-07-31 05:00:00,,,,,,,,,,,,,,,,,
55,2022-07-31 06:00:00,,,,,,,,,,,,,,,,,
56,2022-07-31 07:00:00,,,,,,,,,,,,,,,,,
57,2022-07-31 08:00:00,,,,,,,,,,,,,,,,,
58,2022-07-31 09:00:00,,,,,,,,,,,,,,,,,
59,2022-07-31 10:00:00,,,,,,,,,,,,,,,,,
60,2022-07-31 11:00:00,,,,,,,,,,,,,,,,,
61,2022-07-31 12:00:00,,,,,,,,,,,,,,,,,
62,2022-07-31 13:00:00,,,,,,,,,,,,,,,,,
63,2022-07-31 14:00:00,,,,,,,,,,,,,,,,,
64,2022-07-31 15:00:00,,,,,,,,,,,,,,,,,
65,2022-07-31 16:00:00,,,,,,,,,,,,,,,,,
66,2022-07-31 17:00:00,,,,,,,,,,,,,,,,,
67,2022-07-31 18:00:00,,,,,,,,,,,,,,,,,
68,2022-07-31 19:00:00,,,,,,,,,,,,,,,,,
69,2022-07-31 20:00:00,,,,,,,,,,,,,,,,,
70,2022-07-31 21:00:00,,,,,,,,,,,,,,,,,
71,2022-07-31 22:00:00,,,,,,,,,,,,,,,,,
72,2022-07-31 23:00:00,,,,,,,,,,,,,,,,,
73,2022-08-01 00:00:00,,,,,,,,,,,,,,,,,
74,2022-08-01 01:00:00,,,,,,,,,,,,,,,,,
75,2022-08-01 02:00:00,,,,,,,,,,,,,,,,,
76,2022-08-01 03:00:00,,,,,,,,,,,,,,,,,
77,2022-08-01 04:00:00,,,,,,,,,,,,,,,,,
78,2022-08-01 05:00:00,,,,,,,,,,,,,,,,,
79,2022-08-01 06:00:00,,,,,,,,,,,,,,,,,
80,2022-08-01 07:00:00,,,,,,,,,,,,,,,,,
81,2022-08-01 08:00:00,,,,,,,,,,,,,,,,,
82,2022-08-01 09:00:00,,,,,,,,,,,,,,,,,
83,2022-08-01 10:00:00,,,,,,,,,,,,,,,,,
84,2022-08-01 11:00:00,,,,,,,,,,,,,,,,,
85,2022-08-01 12:00:00,,,,,,,,,,,,,,,,,
86,2022-08-01 13:00:00,,,,,,,,,,,,,,,,,
87,2022-08-01 14:00:00,,,,,,,,,,,,,,,,,
88,2022-08-01 15:00:00,,,,,,,,,,,,,,,,,
89,2022-08-01 16:00:00,,,,,,,,,,,,,,,,,
90,2022-08-01 17:00:00,,,,,,,,,,,,,,,,,
91,2022-08-01 18:00:00,,,,,,,,,,,,,,,,,
92,2022-08-01 19:00:00,,,,,,,,,,,,,,,,,
93,2022-08-01 20:00:00,,,,,,,,,,,,,,,,,
94,2022-08-01 21:00:00,,,,,,,,,,,,,,,,,
95,2022-08-01 22:00:00,,,,,,,,,,,,,,,,,
96,2022-08-01 23:00:00,,,,,,,,,,,,,,,,,
97,2022-08-02 00:00:00,,,,,,,,,,,,,,,,,
98,2022-08-02 01:00:00,,,,,,,,,,,,,,,,,
99,2022-08-02 02:00:00,,,,,,,,,,,,,,,,,
100,2022-08-02 03:00:00,,,,,,,,,,,,,,,,,
101,2022-08-02 04:00:00,,,,,,,,,,,,,,,,,
102,2022-08-02 05:00:00,,,,,,,,,,,,,,,,,
103,2022-08-02 06:00:00,,,,,,,,,,,,,,,,,
104,2022-08-02 07:00:00,,,,,,,,,,,,,,,,,
105,2022-08-02 08:00:00,,,,,,,,,,,,,,,,,
106,2022-08-02 09:00:00,,,,,,,,,,,,,,,,,
107,2022-08-02 10:00:00,,,,,,,,,,,,,,,,,
108,2022-08-02 11:00:00,,,,,,,,,,,,,,,,,
109,2022-08-02 12:00:00,,,,,,,,,,,,,,,,,
110,2022-08-02 13:00:00,,,,,,,,,,,,,,,,,
111,2022-08-02 14:00:00,,,,,,,,,,,,,,,,,
112,2022-08-02 15:00:00,,,,,,,,,,,,,,,,,
113,2022-08-02 16:00:00,,,,,,,,,,,,,,,,,
114,2022-08-02 17:00:00,,,,,,,,,,,,,,,,,
