id,city,lat,lng,country,population
17,Moscow,55.7522,37.6155,Russia,10452000
19,Paris,48.8667,2.3333,France,9904000
25,London,51.5,-0.1167,United Kingdom,8567000
46,Madrid,40.4,-3.6834,Spain,5567000
56,Barcelona,41.3833,2.1834,Spain,4920000
63,St. Petersburg,59.939,30.316,Russia,4553000
96,Berlin,52.5218,13.4015,Germany,3406000
98,Rome,41.896,12.4833,Italy,3339000
102,Athens,37.9833,23.7333,Greece,3242000
120,Milan,45.47,9.205,Italy,2945000
121,Stuttgart,48.78,9.2,Germany,2944700
127,Frankfurt,50.1,8.675,Germany,2895000
130,Lisbon,38.7227,-9.1449,Portugal,2812000
138,Katowice,50.2604,19.02,Poland,2746000
141,Kiev,50.4334,30.5166,Ukraine,2709000
167,Vienna,48.2,16.3666,Austria,2400000
172,Mannheim,49.5004,8.47,Germany,2362000
177,Birmingham,52.475,-1.92,United Kingdom,2285000
179,Naples,40.84,14.245,Italy,2250000
181,Manchester,53.5004,-2.248,United Kingdom,2230000
220,Bucharest,44.4334,26.0999,Romania,1942000
233,Minsk,53.9,27.5666,Belarus,1805000
239,Hamburg,53.55,10.0,Germany,1757000
245,Brussels,50.8333,4.3333,Belgium,1743000
246,Essen,51.45,7.0166,Germany,1742135
254,Warsaw,52.25,21.0,Poland,1707000
263,Budapest,47.5,19.0833,Hungary,1679000
264,Turin,45.0704,7.67,Italy,1652000
296,Leeds,53.83,-1.58,United Kingdom,1529000
306,Florence,43.78,11.25,Italy,1500000
321,Kharkiv,50.0,36.25,Ukraine,1461000
335,Lyon,45.77,4.83,France,1423000
339,The Hague,52.08,4.27,Netherlands,1406000
341,Marseille,43.29,5.375,France,1400000
346,Novosibirsk,55.03,82.96,Russia,1389000
360,Porto,41.15,-8.62,Portugal,1337000
365,Yekaterinburg,56.85,60.6,Russia,1313000
372,Sheffield,53.3667,-1.5,United Kingdom,1292900
376,Nizhny Novgorod,56.333,44.0001,Russia,1278000
378,Duisburg,51.43,6.75,Germany,1276757
379,Munich,48.1299,11.575,Germany,1275000
380,Stockholm,59.3508,18.0973,Sweden,1264000
386,Geneva,46.21,6.14,Switzerland,1240000
391,Düsseldorf,51.2204,6.78,Germany,1220000
393,Seville,37.405,-5.98,Spain,1212045
405,Sofia,42.6833,23.3167,Bulgaria,1185000
410,Glasgow,55.8744,-4.2507,United Kingdom,1160000
419,Samara,53.195,50.1513,Russia,1137000
421,Omsk,54.99,73.4,Russia,1135000
429,Kazan,55.7499,49.1263,Russia,1115000
430,Helsinki,60.1756,24.9341,Finland,1115000
434,Zürich,47.38,8.55,Switzerland,1108000
444,Belgrade,44.8186,20.468,Serbia,1099000
448,Chelyabinsk,55.155,61.4387,Russia,1091000
451,København,55.6786,12.5635,Denmark,1085000
463,Dublin,53.3331,-6.2489,Ireland,1059000
466,Rostov,47.2346,39.7127,Russia,1052000
467,Dnipro,48.48,35.0,Ukraine,1050000
471,Lille,50.65,3.08,France,1044000
475,Amsterdam,52.35,4.9166,Netherlands,1031000
485,Ufa,54.79,56.04,Russia,1018000
493,Rotterdam,51.92,4.48,Netherlands,1005000
495,Cologne,50.93,6.95,Germany,1004000
504,Perm,58.0,56.25,Russia,997000
508,Odessa,46.49,30.71,Ukraine,991000
511,Donetsk,48.0,37.83,Ukraine,988000
516,Volgograd,48.71,44.5,Russia,984000
534,Salerno,40.6804,14.7699,Italy,954265
549,Nice,43.715,7.265,France,927000
552,Krasnoyarsk,56.014,92.866,Russia,925000
556,Antwerpen,51.2204,4.415,Belgium,920000
570,Tirana,41.3275,19.8189,Albania,895350
585,Newcastle,55.0004,-1.6,United Kingdom,882000
589,Bilbao,43.25,-2.93,Spain,875552
607,Palermo,38.125,13.35,Italy,863000
608,Cardiff,51.5,-3.225,United Kingdom,861400
619,Toulouse,43.62,1.4499,France,847000
622,Voronezh,51.73,39.27,Russia,844000
624,Saratov,51.58,46.03,Russia,843000
628,Oslo,59.9167,10.75,Norway,835000
635,Basel,47.5804,7.59,Switzerland,830000
637,Thessaloniki,40.6961,22.885,Greece,828000
641,Braga,41.555,-8.4213,Portugal,826833
644,Nottingham,52.9703,-1.17,United Kingdom,825600
652,Liverpool,53.416,-2.918,United Kingdom,811000
658,Valencia,39.485,-0.4,Spain,808000
664,Lvov,49.835,24.03,Ukraine,803880
665,Bordeaux,44.85,-0.595,France,803000
676,Zaporizhzhya,47.8573,35.1768,Ukraine,788000
685,Wuppertal,51.25,7.17,Germany,776525
691,Saarbrücken,49.2504,6.97,Germany,770001
701,Łódź,51.775,19.4514,Poland,758000
702,Kraków,50.06,19.96,Poland,756000
715,Liège,50.63,5.58,Belgium,749110
719,Riga,56.95,24.1,Latvia,742572
722,Gdańsk,54.36,18.64,Poland,740000
724,Nürnberg,49.45,11.08,Germany,737304
732,Bremen,53.08,8.8,Germany,724909
734,Zagreb,45.8,16.0,Croatia,722526
735,Hannover,52.367,9.7167,Germany,722490
752,Tolyatti,53.4804,49.53,Russia,702879
